"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
672040,"Data Scientist","Bogotá, Bogota, Colombia","Full-time","170575.0","2023-11-10 23:42:44","Rappi"
541883,"Data Architect","Bogotá, Bogota, Colombia","Full-time","165000.0","2023-04-26 12:34:01","Publicis Groupe"
73932,"Cl4401 Data Architect","Bogotá, Bogota, Colombia","Full-time","165000.0","2023-01-24 14:55:05","Nisum"
325331,"Data Scientist","Bogotá, Bogota, Colombia","Full-time","163875.0","2023-12-12 16:42:22","Rappi"
96696,"Data Scientist","Bogotá, Bogota, Colombia","Full-time","157500.0","2023-09-04 08:24:06","Nubank"
1307808,"Data Architect","Colombia","Full-time","156500.0","2023-11-09 15:07:05","Kyndryl"
471554,"Data Engineer Specialist","Bogotá, Bogota, Colombia","Full-time","147500.0","2023-06-06 17:35:26","Publicis Groupe"
475135,"Quality Data Analyst","Bogotá, Bogota, Colombia","Full-time","118640.0","2023-11-01 11:13:53","Rappi"
215578,"Data Analyst","Bogotá, Bogota, Colombia","Full-time","111175.0","2023-02-02 08:58:44","Sutherland"
603094,"Data Analyst (PGD-9992)","Bogotá, Bogota, Colombia","Full-time","111175.0","2023-02-11 02:32:57","Publicis Groupe"
947070,"Data Analyst - PGD-10004","Bogotá, Bogota, Colombia","Full-time","111175.0","2023-02-24 11:47:25","Publicis Groupe"
85854,"Data Analyst","Bogotá, Bogota, Colombia","Full-time","111175.0","2023-06-23 21:15:28","Publicis Groupe"
907538,"Data Analyst","Bogotá, Bogota, Colombia","Full-time","111175.0","2023-04-03 22:49:31","Publicis Groupe"
338520,"Digital Data Specialist","Bogotá, Bogota, Colombia","Full-time","109500.0","2023-05-24 18:49:07","Publicis Groupe"
492240,"Growth Data Manager","Bogotá, Bogota, Colombia","Full-time","105650.0","2023-07-26 10:00:18","Publicis Groupe"
104967,"Data Analyst","Bogotá, Bogota, Colombia","Full-time","100500.0","2023-08-31 21:59:11","Sutherland"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","Full-time","93600.0","2023-05-05 21:48:15","Publicis Groupe"
406183,"Data Analyst","Bogotá, Bogota, Colombia","Full-time","90000.0","2023-10-03 01:49:52","minka_"
164513,"Digital Data Science & Analytics Manager","Bogotá, Bogota, Colombia","Full-time","79200.0","2023-04-21 01:20:12","Publicis Groupe"
1661,"Data Analytics Lead -  PGD-10633","Bogotá, Bogota, Colombia","Full-time","79200.0","2023-03-14 14:32:22","Publicis Groupe"
